descripcion_limpia,categoria
Huevos,Alimentacion
Compra muebles,Vivienda
Pasaje de autobus,Transporte
Streaming,Ocio
taxi,Transporte
Didi food,Alimentacion
pemex,Transporte
Laboratorio medico,Salud
Reparacion electrodomestico,Vivienda
Medicamentos,Salud
Pastilla,Salud
Didi Food,Alimentacion
UBER,Transporte
Servicios de reparación hogar,Vivienda
Pedido de comida,Alimentacion
Taxi de sitio,Transporte
Pago Telcel,Servicios
Pago de internet,Servicios
Transporte público,Transporte
Accesorios,Ocio
CAFÉ,Alimentacion
Diplomado profesional,Educación
Suscripcion Paramount,Ocio
Clases de ingles,Educación
Pago renta,Vivienda
Tren Suburbano,Transporte
Seguro vivienda,Vivienda
Utiles escuela,Educación
Decoracion del hogar,Vivienda
UBER,Transporte
Boleto concierto,Ocio
Despensa Walmart,Alimentacion
Pizza,Alimentacion
gasolina,Transporte
Viaje Didi,Transporte
Servicio mantenimiento,Servicios
plomeria,Vivienda
Herramientas,Vivienda
senderismo,Ocio
Accesorios,Ocio
Compra medicamento,Salud
Antibióticos,Salud
Internet hogar,Servicios
escuela,Educación
Compra libro escolar,Educación
Certificacion,Educación
Hamburguesa,Alimentacion
Estudios de laboratorio,Salud
transporte publico,Transporte
Libro,Ocio
Carnicería,Alimentacion
Tortillería,Alimentacion
Perfume,Ocio
medicina,Salud
Boliche,Ocio
Servicio limpieza,Servicios
Telefonia movil,Servicios
Evento,Ocio
Pago renta,Vivienda
Cine,Ocio
Tanque de gas,Servicios
Transporte público,Transporte
Reparacion casa,Vivienda
renta,Vivienda
Comida rápida,Alimentacion
Pago Disney,Ocio
Transporte urbano,Transporte
Tour por ciudad,Ocio
Pago luz,Servicios
vegetal,Alimentacion
Productos limpieza,Vivienda
Pasaje,Transporte
Cursos,Educación
Gasolina premium,Transporte
Odontologo,Salud
Taller de idiomas,Educación
Compra combustible,Transporte
Compra de tortillas,Alimentacion
Hobby,Ocio
DiDi,Transporte
Limpieza del hogar,Vivienda
suscripcion netflix,Ocio
Pago credito hipotecario,Vivienda
netflix,Ocio
Decoración del hogar,Vivienda
Delivery de comida,Alimentacion
Diplomado,Educación
Natación,Ocio
Examen médico,Salud
Plomería,Vivienda
Pago colegiatura,Educación
taxi sitio,Transporte
Calzado,Ocio
Huevos,Alimentacion
TAXI,Transporte
streaming,Ocio
Cafetería,Alimentacion
Parque diversiones,Ocio
Gym,Servicios
Compra farmacia,Salud
gasolina magna,Transporte
Cafeteria local,Alimentacion
Pedido de comida,Alimentacion
DIDI,Transporte
Muebles sala,Vivienda
Tanque gas,Servicios
Compra en mercado,Alimentacion
Alimentos,Alimentacion
Spa,Ocio
Natación,Ocio
gas lp,Servicios
Videojuegos,Ocio
Pago electricidad,Servicios
cafe,Alimentacion
Suscripcion Paramount,Ocio
Gas Natural,Servicios
Material didactico,Educación
Fibra óptica,Servicios
laboratorio,Salud
Universidad,Educación
Servicio Uber,Transporte
Servicio streaming,Servicios
Electrodomestico,Vivienda
Electrodoméstico,Vivienda
Reparacion hogar,Vivienda
Pago limpieza,Servicios
MEDICO,Salud
Galletas,Alimentacion
Masaje,Ocio
Carniceria,Alimentacion
Decoración casa,Vivienda
Gym,Servicios
Plan de internet,Servicios
Teatro,Ocio
Consulta médica,Salud
Cena en restaurante,Alimentacion
Ingles,Educación
recibo de luz,Servicios
Servicio telefonico,Servicios
Pago electricidad,Servicios
Reparación plomería,Vivienda
Pago gimnasio,Servicios
Compra electrodomestico,Vivienda
Pago seguro vivienda,Vivienda
fruta,Alimentacion
Gasolina Premium,Transporte
Kit de ducha,Ocio
transporte publico,Transporte
Autobús,Transporte
Decoracion del hogar,Vivienda
Compra limpieza hogar,Vivienda
Pago inscripcion,Educación
Metró,Transporte
Inscripcion universidad,Educación
transporte publico,Transporte
pastillas,Salud
Terapia fisica,Salud
Tutor,Educación
Pintura hogar,Vivienda
Viaje Didi,Transporte
Curso idiomas,Educación
Gasolina Magna,Transporte
Conferencia académica,Educación
Pintura casa,Vivienda
walmart,Alimentacion
joyeria,Ocio
Pago cable,Servicios
Utiles escuela,Educación
Material didáctico,Educación
Cine,Ocio
medico,Salud
Analgesico,Salud
Médico,Salud
Suscripción Disney,Ocio
walmart,Alimentacion
Útiles escuela,Educación
Gasolina Magna,Transporte
Boleto de autobús,Transporte
Boleto concierto,Ocio
TAXI,Transporte
Nutriólogo,Salud
Caseta,Transporte
Pago de celular,Servicios
Tortilleria,Alimentacion
Transporte por aplicación,Transporte
Certificación,Educación
escuela,Educación
Camión,Transporte
ferreteria,Vivienda
Boleto cine,Ocio
Pago de universidad,Educación
Recibo gas,Servicios
Cita médica,Salud
Antibiotico,Salud
Factura de agua,Servicios
Pago credito hipotecario,Vivienda
cfe,Servicios
Suscripcion Paramount,Ocio
Crédito hipotecario,Vivienda
Yogur,Alimentacion
ferreteria,Vivienda
Servicio de limpieza,Servicios
Recarga gas,Servicios
UBER,Transporte
Playera,Ocio
Utensilios de cocina,Vivienda
Material didactico,Educación
curso en linea,Educación
Clases de idiomas,Educación
Pago CFE,Servicios
Pago credito hipotecario,Vivienda
Examen de laboratorio,Salud
Carga gasolina,Transporte
Artículos limpieza,Vivienda
Clases de ingles,Educación
Mercado,Alimentacion
Calzado,Ocio
Adornos para casa,Vivienda
gorra,Ocio
supermercadoDESPENSA,Alimentacion
Receta medica,Salud
Reparación tubería,Vivienda
TELCEL,Servicios
Clases de matemáticas,Educación
Pago television por cable,Servicios
stream,Ocio
Clases de matematicas,Educación
Colegio,Educación
Estacionamiento vehiculo,Transporte
Curso online,Educación
Inscripción escuela,Educación
Mensualidad escuela,Educación
playera,Ocio
Pedido comida,Alimentacion
Tutorías,Educación
Festival música,Ocio
paramount,Ocio
UBER,Transporte
Compra muebles,Vivienda
Decoración casa,Vivienda
Boleto de cine,Ocio
Gas,Servicios
Mantenimiento hogar,Vivienda
Compra de muebles,Vivienda
Curso en línea,Educación
Mantenimiento casa,Vivienda
Seguro de gastos medicos,Salud
Pintura hogar,Vivienda
Tortillería,Alimentacion
perfume,Ocio
Pago luz,Servicios
Pago de universidad,Educación
cablebus,Transporte
Perfume,Ocio
Curso en linea,Educación
Reparación casa,Vivienda
Pintura hogar,Vivienda
Articulos limpieza,Vivienda
Hospital,Salud
Abarrotes,Alimentacion
Taxi,Transporte
Autobús,Transporte
Comic,Ocio
Comida rapida restaurante,Alimentacion
Taxi de Sitio,Transporte
Decoración casa,Vivienda
Pago Disney,Ocio
Laboratorio médico,Salud
spa,Ocio
Médico,Salud
despensa,Alimentacion
Pasatiempo,Ocio
Herramientas,Vivienda
Taxi Didi,Transporte
Alquiler,Vivienda
Compra comida,Alimentacion
Despensa mensual,Alimentacion
Mensualidad escolar,Educación
Curso en linea,Educación
Boleto cablebus,Transporte
Disney+,Ocio
Telcel,Servicios
Mensualidad universidad,Educación
Viaje transporte,Transporte
Gimnasio,Servicios
Rappi comida,Alimentacion
LIBRO,Ocio
Pago de universidad,Educación
Colegiatura,Educación
farmacia,Salud
Seguro de casa,Vivienda
Combustible,Transporte
Lentes de sol,Ocio
Carga gasolina,Transporte
Tacos restaurante,Alimentacion
Pago de television por cable,Servicios
Farmacia,Salud
Desayuno,Alimentacion
Cómic,Ocio
Sombrero,Ocio
Medicamentos,Salud
Herramientas hogar,Vivienda
Comida para llevar,Alimentacion
internet,Servicios
Delivery de comida,Alimentacion
Pago de hipoteca,Vivienda
Pastillas,Salud
Pedido de comida,Alimentacion
Telefonia movil,Servicios
Productos limpieza,Vivienda
Pago seguro medico,Salud
PERFUME,Ocio
certificacion,Educación
Recibo de agua,Servicios
Patinaje,Ocio
plomeria,Vivienda
Articulos de limpieza,Vivienda
Gasolinera PEMEX,Transporte
Agua embotellada,Alimentacion
Inscripción universidad,Educación
Conferencia académica,Educación
Comida rapida,Alimentacion
Reparacion electrodomestico,Vivienda
Pago seguro vivienda,Vivienda
Botanas,Alimentacion
Matcha latte,Alimentacion
taxi,Transporte
tren suburbano,Transporte
tren suburbano,Transporte
Seguro de vivienda,Vivienda
Medicamento farmacia,Salud
Cable,Servicios
Galletas,Alimentacion
Lentes de sol,Ocio
Plomería,Vivienda
servicio streaming,Servicios
galleta,Alimentacion
CAFÉ,Alimentacion
Compra de alimentos,Alimentacion
Odontólogo,Salud
Panaderia,Alimentacion
Telefonia celular,Servicios
Pago gas,Servicios
Pago agua,Servicios
Servicio gasolinera,Transporte
paramount,Ocio
Botanas,Alimentacion
Analgésico,Salud
Tanque de gasolina,Transporte
Odontólogo,Salud
Compra limpieza hogar,Vivienda
Congreso académico,Educación
Carga gas LP,Servicios
Inscripción escolar,Educación
Pasaje autobus,Transporte
Curso inglés,Educación
Taller idiomas,Educación
Artículos para hogar,Vivienda
transporte publico,Transporte
Pan,Alimentacion
Crédito hipotecario,Vivienda
Psicólogo,Salud
Taller de idiomas,Educación
Medicamento,Salud
Tarjeta Metro,Transporte
Recibo agua,Servicios
Entrada cine,Ocio
gasolina,Transporte
Artículos para hogar,Vivienda
Plan internet,Servicios
stream,Ocio
Despensa mensual,Alimentacion
Análisis Laboratorio,Salud
Metró,Transporte
Clases de matematicas,Educación
Farmacia similares,Salud
Certificacion profesional,Educación
plomeria,Vivienda
vegetal,Alimentacion
Cena en restaurante,Alimentacion
Pago gas,Servicios
supermercado,Alimentacion
Inscripción universidad,Educación
Fisioterapia,Salud
cartera,Ocio
Rappi comida,Alimentacion
GASOLINA,Transporte
Inscripcion escolar,Educación
Mueble para sala,Vivienda
Muebles,Vivienda
Gasolina premium,Transporte
Utensilios cocina,Vivienda
cfe,Servicios
Pan dulce,Alimentacion
Carga gasolina,Transporte
Suscripcion Paramount,Ocio
Pago electricidad,Servicios
Recibo de luz,Servicios
Seminario académico,Educación
MEDICO,Salud
Tour por ciudad,Ocio
Pago de Agua,Servicios
Abono hipoteca,Vivienda
FERRETERIA,Vivienda
Terapia física,Salud
Taller idiomas,Educación
Aretes,Ocio
hipoteca,Vivienda
tortilleria,Alimentacion
Mensualidad gimnasio,Servicios
Recarga Telcel,Servicios
Despensa mensual,Alimentacion
Pasaje urbano,Transporte
Análisis de laboratorio,Salud
delivery comida,Alimentacion
Servicio de plomería,Vivienda
certificacion,Educación
Pago de hipoteca,Vivienda
Compra en tianguis,Alimentacion
Receta medica,Salud
Reparación de plomería,Vivienda
Compra en farmacia,Salud
Gasolina premium,Transporte
ESCUELA,Educación
Cafeteria local,Alimentacion
Hamburguesa,Alimentacion
Visita turística,Ocio
Servicio streaming,Servicios
Matcha,Alimentacion
Pago de electricidad,Servicios
LABORATORIO,Salud
mantenimiento edificio,Vivienda
Pintura para casa,Vivienda
Pago de universidad,Educación
Nutriologo,Salud
Masaje,Ocio
Comision Federal de Electricidad,Servicios
Mantenimiento departamento,Vivienda
Servicios de reparación hogar,Vivienda
Libros escolares,Educación
Farmacia Similares,Salud
Análisis de laboratorio,Salud
suscripcion netflix,Ocio
Analgesico,Salud
Recibo gas,Servicios
Uber viaje,Transporte
Té y galletas,Alimentacion
Recibo agua,Servicios
Estacionamiento,Transporte
Servicio streaming,Servicios
Pulsera,Ocio
Pago credito hipotecario,Vivienda
Pago de escuela,Educación
Vitamina,Salud
Pago telefonía,Servicios
Parking,Transporte
Recarga tarjeta metro,Transporte
universidad,Educación
Odontólogo,Salud
Electricidad,Servicios
delivery comida,Alimentacion
Huevos,Alimentacion
DOCTOR,Salud
Taxi de sitio,Transporte
Frutas y verduras,Alimentacion
Clases de ingles,Educación
Reparacion hogar,Vivienda
Paramount Plus,Ocio
Abarrotes,Alimentacion
Tour ciudad,Ocio
Paseo turistico,Ocio
Mantenimiento servicio,Servicios
Obra de teatro,Ocio
Pago CFE,Servicios
Ingles,Educación
Mensualidad renta,Vivienda
Utiles escuela,Educación
Compra medicamento,Salud
DOCTOR,Salud
tren suburbano,Transporte
ciclismo,Ocio
Servicio de plomeria,Vivienda
Curso de internet,Educación
Compra de tortillas,Alimentacion
Abono hipoteca ,Vivienda
RECIBO CFE,Servicios
Pescado,Alimentacion
Parking,Transporte
Delivery de comida,Alimentacion
Curso ingles,Educación
GAS LP,Servicios
Congreso académico,Educación
Ingles,Educación
Ropa,Ocio
Mantenimiento edificio,Vivienda
Suscripcion Disney,Ocio
Alquiler,Vivienda
Té,Alimentacion
Articulos limpieza,Vivienda
Cena,Alimentacion
autobus,Transporte
supermercadoDESPENSA,Alimentacion
Didi,Transporte
Pago caseta,Transporte
Visita guiada,Ocio
pintura,Vivienda
Festival,Ocio
Material didactico,Educación
Visita turistica,Ocio
Decoracion casa,Vivienda
Taxi de sitio,Transporte
TAXI,Transporte
Examen laboratorio,Salud
Pago de colegiatura,Educación
Tour turístico,Ocio
Pastillas,Salud
Pago gimnasio,Servicios
Estacionamiento vehiculo,Transporte
Servicio agua,Servicios
MEDICINA,Salud
Baile,Ocio
Servicio telefónico,Servicios
Compra en farmacia,Salud
Despensa,Alimentacion
Té y galletas,Alimentacion
Antibiótico,Salud
FARMACIA,Salud
DIDI,Transporte
Abono hipoteca,Vivienda
gasolina premium,Transporte
Inscripcion universidad,Educación
Compra alimentos,Alimentacion
Tarjeta Metro,Transporte
Aretes,Ocio
Taxi,Transporte
Colegiatura,Educación
Fibra optica,Servicios
Transporte público,Transporte
Reparación casa,Vivienda
Articulos limpieza,Vivienda
Electrodoméstico,Vivienda
Recarga Telcel,Servicios
Parque de diversiones,Ocio
Utensilios cocina,Vivienda
Colonia,Ocio
ciclismo,Ocio
Utiles escuela,Educación
Terapia fisica,Salud
CFE pago,Servicios
Muebles para sala,Vivienda
Mantenimiento del edificio,Vivienda
Pago de celular,Servicios
Tren suburbano,Transporte
Almuerzo,Alimentacion
Huevos,Alimentacion
Peaje,Transporte
universidad,Educación
Recibo de servicio,Servicios
Certificacion,Educación
Comida rapida,Alimentacion
Cursos,Educación
Servicio cable,Servicios
Colegiatura,Educación
Parking,Transporte
Pescado,Alimentacion
Transporte público,Transporte
Compra de muebles,Vivienda
Pago cable,Servicios
Material de estudio,Educación
Examen laboratorio,Salud
Compra pintura,Vivienda
delivery comida,Alimentacion
Pago cable,Servicios
Seguro vivienda,Vivienda
Consulta con doctor,Salud
DOCTOR,Salud
Pago alquiler,Vivienda
Reparación electrodoméstico,Vivienda
RECIBO CFE,Servicios
Limpieza,Servicios
Servicios de reparación hogar,Vivienda
Uber viaje,Transporte
Curso en linea,Educación
Cuota autopista,Transporte
Servicio Didi,Transporte
gorra,Ocio
Pago television por cable,Servicios
Tour ciudad,Ocio
COLEGIATURA,Educación
Compra de comida,Alimentacion
Gasolina Magna,Transporte
Estacionamiento,Transporte
Cafeteria local,Alimentacion
Visita turistica,Ocio
Videojuegos,Ocio
Plan internet,Servicios
Mantenimiento edificio,Vivienda
PREMIUM,Transporte
Medicina,Salud
Lentes para sol,Ocio
Boleto de autobús,Transporte
Té y galletas,Alimentacion
Materiales escolares,Educación
Electrodomesticos,Vivienda
Tanque gas,Servicios
Consulta medica,Salud
disney,Ocio
Terapia física,Salud
Pago cable,Servicios
Restaurante,Alimentacion
Camiseta,Ocio
Inscripcion curso,Educación
Comida,Alimentacion
Comision Federal de Electricidad,Servicios
Receta médica,Salud
Decoración casa,Vivienda
Estudios de laboratorio,Salud
Plan de internet,Servicios
Tienda de abarrotes,Alimentacion
Pago television por cable,Servicios
gasolina magna,Transporte
Recarga Metro,Transporte
Pasaje autobus,Transporte
Uber viaje,Transporte
cafe,Alimentacion
Entrada evento,Ocio
Mensualidad escuela,Educación
internet,Servicios
Taller idiomas,Educación
Electrodomésticos,Vivienda
crema,Ocio
transporte publico,Transporte
Patinaje,Ocio
Combustible,Transporte
Estacionamiento vehiculo,Transporte
Mantenimiento casa,Vivienda
Pago CFE,Servicios
paramount,Ocio
Taller de idiomas,Educación
Pago de luz,Servicios
PEMEX,Transporte
Pantalón,Ocio
Pago celular,Servicios
Taller idiomas,Educación
Pago mensual renta,Vivienda
escuela,Educación
Utiles escolares,Educación
Transporte por aplicación,Transporte
CFE,Servicios
Adornos hogar,Vivienda
Clases de matematicas,Educación
Diplomado profesional,Educación
Útiles escuela,Educación
Utensilios de cocina,Vivienda
Pedido comida,Alimentacion
Pago internet,Servicios
Gasolina,Transporte
Tarjeta Metro,Transporte
Recarga Metro,Transporte
combustible,Transporte
Psicólogo,Salud
Farmacia,Salud
Carga gasolina,Transporte
Compra libro escolar,Educación
DIDI,Transporte
Masaje,Ocio
consulta medica,Salud
Articulos para hogar,Vivienda
ropa,Ocio
Seguro médico,Salud
fruta,Alimentacion
electricidad,Servicios
Médico,Salud
Comida,Alimentacion
disney,Ocio
Metró,Transporte
Compra en farmacia,Salud
Compra en mercado,Alimentacion
Servicio cable,Servicios
Pago gas,Servicios
Pago de television por cable,Servicios
pemex,Transporte
Juego,Ocio
Paseo turístico,Ocio
Suscripcion Paramount,Ocio
Muebles sala,Vivienda
Queso,Alimentacion
Recibo de agua,Servicios
Clases particulares,Educación
MEDICO,Salud
Tienda de abarrotes,Alimentacion
CFE pago,Servicios
Pollo,Alimentacion
TIANGUIS,Alimentacion
Uber viaje,Transporte
panaderia,Alimentacion
Netflix,Ocio
Conferencia académica,Educación
reloj,Ocio
Pago caseta,Transporte
Reparacion casa,Vivienda
Walmart,Alimentacion
autobus,Transporte
concierto,Ocio
Queso,Alimentacion
verdura,Alimentacion
gasolina,Transporte
Galletas,Alimentacion
TELCEL,Servicios
WALMART,Alimentacion
Analgesico,Salud
gas lp,Servicios
Antibióticos,Salud
Examen médico,Salud
Material escolar,Educación
Pago inscripción,Educación
Sombrero,Ocio
Boleto cine,Ocio
Recibo de luz,Servicios
Libro escolar,Educación
Suscripcion de streaming,Servicios
Mercado,Alimentacion
Inglés,Educación
COLEGIATURA,Educación
Mantenimiento casa,Vivienda
Medicina,Salud
Seguro de vivienda,Vivienda
Paseo turístico,Ocio
LIBRO,Ocio
Vitaminas,Salud
Telefonia celular,Servicios
Uber viaje,Transporte
Uber,Transporte
Urgencias medicas,Salud
Boleto autobus,Transporte
Compra en farmacia,Salud
Libros de texto,Educación
sacmex,Servicios
colegiatura,Educación
Medicamento,Salud
antibiotico,Salud
Limpieza casa,Servicios
CFE pago,Servicios
Seminario,Educación
Compra utiles escolares,Educación
vegetales,Alimentacion
Nutriologo,Salud
taxi,Transporte
Comic,Ocio
Gasolinera PEMEX,Transporte
taxi,Transporte
Comic,Ocio
Material escolar,Educación
Caseta,Transporte
LABORATORIO,Salud
TAXI,Transporte
Delivery de comida,Alimentacion
Pago gas natural,Servicios
Suscripcion Paramount,Ocio
Antibioticos,Salud
Pago agua,Servicios
Crema,Ocio
tren suburbano,Transporte
Médico,Salud
Pago SACMEX,Servicios
Teatro,Ocio
Reparación de plomería,Vivienda
NETFLIX,Ocio
Urgencias médicas,Salud
Adornos hogar,Vivienda
Inglés,Educación
Comision Federal de Electricidad,Servicios
Clase de baile,Ocio
Tanque de gas,Servicios
Pago de celular,Servicios
Material didactico,Educación
Recarga gas,Servicios
Crema,Ocio
Curso en línea,Educación
Comida para llevar,Alimentacion
Videojuegos,Ocio
walmart,Alimentacion
Examen certificación,Educación
Mantenimiento del edificio,Vivienda
Pedido comida,Alimentacion
Útiles escuela,Educación
Compra despensa,Alimentacion
Parking,Transporte
Cafeteria local,Alimentacion
DOCTOR,Salud
Joyería,Ocio
Pago colegiatura,Educación
Cita médica,Salud
Servicio de internet,Servicios
Internet,Servicios
Abono hipoteca ,Vivienda
Tren suburbano,Transporte
Pago gas,Servicios
Panaderia,Alimentacion
Material educativo,Educación
MAGNA,Transporte
Pago inscripción,Educación
CFE pago,Servicios
Patinaje,Ocio
walmart,Alimentacion
Netflix,Ocio
Autobus,Transporte
Cafe,Alimentacion
Accesorios de moda,Ocio
Transporte urbano,Transporte
Te,Alimentacion
Medicina,Salud
Pago cable,Servicios
Factura agua,Servicios
Pago cable,Servicios
Electrodomestico,Vivienda
Cuota mantenimiento,Vivienda
Natacion,Ocio
medicamento,Salud
Tortillería,Alimentacion
Comida restaurante,Alimentacion
Pista de hielo,Ocio
Gasolinera,Transporte
streaming,Ocio
Limpieza casa,Servicios
Antibioticos,Salud
Delivery de comida,Alimentacion
tren suburbano,Transporte
Servicio gas,Servicios
Examen certificacion,Educación
PREMIUM,Transporte
Pedido comida,Alimentacion
Gasolina Magna,Transporte
Abono hipoteca,Vivienda
Festival,Ocio
RESTAURANTE,Alimentacion
Fibra óptica,Servicios
GYM,Servicios
Camión,Transporte
Reparación hogar,Vivienda
Te,Alimentacion
Pago Disney,Ocio
Consulta con doctor,Salud
Utensilios de cocina,Vivienda
Internet,Servicios
Estudio medico,Salud
Te,Alimentacion
comida,Alimentacion
Seminario academico,Educación
GASOLINA,Transporte
Pago de universidad,Educación
Laboratorio médico,Salud
Gym,Servicios
Gas,Servicios
sacmex,Servicios
Estudio medico,Salud
SACMEX,Servicios
Gas natural,Servicios
Reparación de plomería,Vivienda
Laboratorio médico,Salud
pago cfe,Servicios
Escuela,Educación
Fibra óptica,Servicios
Examen certificación,Educación
Senderismo,Ocio
Renta,Vivienda
Compra supermercado,Alimentacion
taxi sitio,Transporte
Compra en tianguis,Alimentacion
laboratorio medico,Salud
farmacia similares,Salud
Taxi de Sitio,Transporte
Pago gas natural,Servicios
Recibo de gas,Servicios
Visita turística,Ocio
Limpieza casa,Servicios
Seguro vivienda,Vivienda
NETFLIX,Ocio
Té y galletas,Alimentacion
Televisión por cable,Servicios
Reparación plomería,Vivienda
Reparacion casa,Vivienda
Compra de muebles,Vivienda
Transporte urbano,Transporte
Compra medicamentos,Salud
Visita turística,Ocio
Lácteos,Alimentacion
Clases idiomas,Educación
Farmacia Similares,Salud
Productos de cuidado personal,Ocio
Curso online,Educación
limpieza,Servicios
Compra de comida,Alimentacion
Utiles escuela,Educación
Pago de servicio,Servicios
Medicamento,Salud
Suscripcion Netflix,Ocio
Recibo de agua,Servicios
Estudio médico,Salud
TAXI,Transporte
universidad,Educación
Credito hipotecario,Vivienda
HIPOTECA,Vivienda
Calzado,Ocio
Pan dulce,Alimentacion
Gasolinera,Transporte
Entrada museo,Ocio
RESTAURANTE,Alimentacion
medico,Salud
Medicamento,Salud
Escuela,Educación
Pasaje autobus,Transporte
Artículos de limpieza,Vivienda
Joyería,Ocio
Limpieza casa,Servicios
Lacteos,Alimentacion
Parque de diversiones,Ocio
Estudios de laboratorio,Salud
Seguro de gastos medicos,Salud
Curso de internet,Educación
Compra en supermercado,Alimentacion
Clases de inglés,Educación
Gasolina magna,Transporte
Viaje en taxi,Transporte
Seguro de gastos medicos,Salud
Clase particular,Educación
Servicio agua,Servicios
restaurante,Alimentacion
Congreso académico,Educación
Boleto de autobus,Transporte
supermercadoDESPENSA,Alimentacion
Boleto cine,Ocio
Examen certificación,Educación
Limpieza del hogar,Vivienda
ferreteria,Vivienda
Alquiler,Vivienda
Alquiler vivienda,Vivienda
pastillas,Salud
Pasaje de autobus,Transporte
Compra de muebles,Vivienda
Pago de Agua,Servicios
Café espresso,Alimentacion
Verduras,Alimentacion
Carga de gasolina,Transporte
Peaje,Transporte
Pago universidad,Educación
Compra útiles escolares,Educación
antibiotico,Salud
Farmacia Guadalajara,Salud
Mensualidad del gimnasio,Servicios
Material escolar,Educación
Pasaje,Transporte
Tortillería,Alimentacion
Antibiótico,Salud
Comida para llevar restaurante,Alimentacion
Boleto de autobus,Transporte
Renta mensual,Vivienda
Cafeteria,Alimentacion
Gorra,Ocio
Agua embotellada,Alimentacion
Inscripción escuela,Educación
Articulos limpieza,Vivienda
Artículos limpieza,Vivienda
Recarga gas,Servicios
Taxi de Sitio,Transporte
Consulta doctor,Salud
Té,Alimentacion
Set de ducha,Ocio
playera,Ocio
GASOLINA,Transporte
Lentes para sol,Ocio
Pago servicio,Servicios
Recibo de agua,Servicios
Boleto cine,Ocio
Hamburguesa,Alimentacion
Ingles,Educación
Despensa quincenal,Alimentacion
Paramount Plus,Ocio
Visita turistica,Ocio
Estudios de laboratorio,Salud
Artículos para hogar,Vivienda
Pago de gimnasio,Servicios
Cafeteria local,Alimentacion
Decoracion del hogar,Vivienda
Crema facial,Ocio
Consulta médica,Salud
Cafeteria local,Alimentacion
Medicamento farmacia,Salud
Parque diversiones,Ocio
Examen médico,Salud
Vitamina,Salud
PEMEX,Transporte
Gasolina,Transporte
Compra limpieza hogar,Vivienda
Servicio telefónico,Servicios
Mantenimiento servicio,Servicios
Pago mensualidad escolar,Educación
Curso en linea,Educación
Pago inscripcion,Educación
Vitamina,Salud
autobus,Transporte
Universidad,Educación
Colegio,Educación
Cómic,Ocio
Tren Suburbano,Transporte
Recarga Telcel,Servicios
Tortilleria,Alimentacion
Cuota autopista,Transporte
Inscripcion universidad,Educación
Paseo turistico,Ocio
Urgencias médicas,Salud
Electrodoméstico,Vivienda
Compra de comida,Alimentacion
Estudio medico,Salud
Pago crédito hipotecario,Vivienda
Analgésico,Salud
Servicio de plomeria,Vivienda
combustible,Transporte
Credito hipotecario,Vivienda
PREMIUM,Transporte
Reparacion plomeria,Vivienda
Taxi de Sitio,Transporte
colegiatura,Educación
Didi food,Alimentacion
Pulsera,Ocio
Té,Alimentacion
Curso de idiomas,Educación
metro,Transporte
Libro escolar,Educación
Suscripción Disney,Ocio
ESCUELA,Educación
Mensualidad escuela,Educación
Pago telefonia,Servicios
gorra,Ocio
Zapatos,Ocio
Mensualidad del gimnasio,Servicios
Seguro de gastos médicos,Salud
Servicio médico,Salud
Consulta doctor,Salud
Cablebus,Transporte
despensa,Alimentacion
Mensualidad renta,Vivienda
Viaje,Ocio
Curso en línea,Educación
muebles,Vivienda
panaderia,Alimentacion
Crédito hipotecario,Vivienda
Conferencia académica,Educación
Seguro medico,Salud
Cuota autopista,Transporte
Factura de agua,Servicios
Desayuno,Alimentacion
mantenimiento edificio,Vivienda
TAXI,Transporte
Clases de ingles,Educación
Articulos para hogar,Vivienda
Abono Hipoteca,Vivienda
Recarga gas,Servicios
Utiles escuela,Educación
Servicio Didi,Transporte
Entrada concierto,Ocio
Tenis,Ocio
Plan internet,Servicios
Visita turistica,Ocio
Diplomado profesional,Educación
Pago caseta,Transporte
Materiales escolares,Educación
Analgesico,Salud
FARMACIA,Salud
tortilleria,Alimentacion
consulta medica,Salud
recibo de luz,Servicios
Cafetería,Alimentacion
Antibiotico,Salud
Paramount+,Ocio
Tienda de ropa,Ocio
medicamento,Salud
Paramount+,Ocio
Combustible,Transporte
Reparacion tuberia,Vivienda
Pago Disney,Ocio
Farmacias Guadalajara,Salud
Curso idiomas,Educación
Plan de internet,Servicios
Karaoke,Ocio
Reparación plomería,Vivienda
Pago Telcel,Servicios
Analisis de laboratorio,Salud
Reparación tubería,Vivienda
Compra limpieza hogar,Vivienda
Adornos hogar,Vivienda
Verduras,Alimentacion
Compra medicamento,Salud
Libro,Ocio
CURSO,Educación
Streaming,Servicios
Plan internet,Servicios
Inscripción escolar,Educación
Agua potable,Servicios
Renta,Vivienda
Pago hipoteca,Vivienda
Compra medicamento,Salud
DiDi,Transporte
Análisis de laboratorio,Salud
Servicio celular,Servicios
comida rapida,Alimentacion
Inscripción curso,Educación
Tanque gasolina,Transporte
Servicio mantenimiento,Servicios
Tortillería,Alimentacion
combustible,Transporte
Material educativo,Educación
Reparacion tuberia,Vivienda
Recarga tarjeta metro,Transporte
Pintura interiores,Vivienda
Pago universidad,Educación
Receta medica,Salud
TELCEL,Servicios
Utensilios cocina,Vivienda
Mochila,Ocio
Inscripción escuela,Educación
Crema corporal,Ocio
Pago luz,Servicios
Compra en tianguis,Alimentacion
Ingles,Educación
Seminario académico,Educación
Herramientas hogar,Vivienda
UBER,Transporte
Pago colegiatura,Educación
Medicamentos,Salud
Paramount,Ocio
Tanque gas,Servicios
Tarjeta movilidad,Transporte
